2026-02-11 18:25:53,150 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:25:55,272 | INFO  | OMAudit | user=testuser2/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:25:57,316 | INFO  | OMAudit | user=testuser2/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:25:58,538 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=READ_VOLUME {"volume":"tenantone"} | ret=SUCCESS |  
2026-02-11 18:25:58,559 | INFO  | OMAudit | user=hdfs | ip=172.25.0.120 | op=CREATE_BUCKET {"volume":"tenantone","bucket":"bucket-test2","bucketLayout":"OBJECT_STORE","gdprEnabled":null,"acls":"[user:hdfs:a[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1770834358544","bucketEncryptionKey":null,"modificationTime":"1770834358544","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"hdfs","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"19"} | ret=SUCCESS |  
2026-02-11 18:26:00,321 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=READ_VOLUME {"volume":"tenantone"} | ret=SUCCESS |  
2026-02-11 18:26:00,337 | INFO  | OMAudit | user=hdfs | ip=172.25.0.120 | op=DELETE_BUCKET {"volume":"tenantone","bucket":"bucket-test2","Transaction":"20"} | ret=SUCCESS |  
2026-02-11 18:26:01,723 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:26:02,522 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=TENANT_REVOKE_USER_ACCESSID {"accessId":"tenantone$hdfs","Transaction":"21","userPrincipal":"hdfs","tenant":"tenantone"} | ret=SUCCESS |  
2026-02-11 18:26:04,284 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:26:05,234 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_TENANT {"Transaction":"22","tenant":"tenantone"} | ret=SUCCESS |  
2026-02-11 18:26:06,719 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:26:07,441 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_VOLUME {"volume":"tenantone","Transaction":"23"} | ret=SUCCESS |  
2026-02-11 18:26:08,742 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:26:09,537 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=LIST_TENANT {} | ret=SUCCESS |  
