2026-01-15 11:00:27,308 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96902","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193821"} | ret=SUCCESS |  
2026-01-15 11:00:27,308 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96905","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193822"} | ret=SUCCESS |  
2026-01-15 11:00:27,308 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96904","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193823"} | ret=SUCCESS |  
2026-01-15 11:00:27,308 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,309 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96909","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193824"} | ret=SUCCESS |  
2026-01-15 11:00:27,310 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96912","dataSize":"0","replicationType":"NONE","Transaction":"193825"} | ret=SUCCESS |  
2026-01-15 11:00:27,310 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,310 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,310 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,310 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,310 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96910","dataSize":"0","replicationType":"NONE","Transaction":"193826"} | ret=SUCCESS |  
2026-01-15 11:00:27,314 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96913","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193827"} | ret=SUCCESS |  
2026-01-15 11:00:27,316 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96915","dataSize":"0","replicationType":"NONE","Transaction":"193828"} | ret=SUCCESS |  
2026-01-15 11:00:27,316 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96916","dataSize":"0","replicationType":"NONE","Transaction":"193829"} | ret=SUCCESS |  
2026-01-15 11:00:27,317 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96907","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193830"} | ret=SUCCESS |  
2026-01-15 11:00:27,317 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,317 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96906","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193831"} | ret=SUCCESS |  
2026-01-15 11:00:27,318 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96914","dataSize":"0","replicationType":"NONE","Transaction":"193832"} | ret=SUCCESS |  
2026-01-15 11:00:27,319 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,319 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96918","dataSize":"0","replicationType":"NONE","Transaction":"193833"} | ret=SUCCESS |  
2026-01-15 11:00:27,320 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96917","dataSize":"0","replicationType":"NONE","Transaction":"193834"} | ret=SUCCESS |  
2026-01-15 11:00:27,321 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96908","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193835"} | ret=SUCCESS |  
2026-01-15 11:00:27,321 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,322 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96920","dataSize":"0","replicationType":"NONE","Transaction":"193836"} | ret=SUCCESS |  
