2024-04-06 20:59:23,560 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/81]} | ret=SUCCESS | perf={metaLatencyMs=150, sizeByte=10240, opLatencyMs=552} |  
2024-04-06 20:59:23,588 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/86]} | ret=SUCCESS | perf={metaLatencyMs=165, sizeByte=10240, opLatencyMs=448} |  
2024-04-06 20:59:23,604 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/82]} | ret=SUCCESS | perf={metaLatencyMs=147, sizeByte=10240, opLatencyMs=557} |  
2024-04-06 20:59:23,644 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/87]} | ret=SUCCESS | perf={metaLatencyMs=107, sizeByte=10240, opLatencyMs=392} |  
2024-04-06 20:59:23,718 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/91]} | ret=SUCCESS | perf={metaLatencyMs=72, sizeByte=10240, opLatencyMs=346} |  
2024-04-06 20:59:23,719 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/89]} | ret=SUCCESS | perf={metaLatencyMs=50, sizeByte=10240, opLatencyMs=395} |  
2024-04-06 20:59:23,744 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/88]} | ret=SUCCESS | perf={metaLatencyMs=174, sizeByte=10240, opLatencyMs=476} |  
2024-04-06 20:59:23,779 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/90]} | ret=SUCCESS | perf={metaLatencyMs=85, sizeByte=10240, opLatencyMs=397} |  
2024-04-06 20:59:23,838 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/93]} | ret=SUCCESS | perf={metaLatencyMs=28, sizeByte=10240, opLatencyMs=318} |  
2024-04-06 20:59:23,852 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/92]} | ret=SUCCESS | perf={metaLatencyMs=38, sizeByte=10240, opLatencyMs=326} |  
2024-04-06 20:59:23,910 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/95]} | ret=SUCCESS | perf={metaLatencyMs=40, sizeByte=10240, opLatencyMs=275} |  
2024-04-06 20:59:23,921 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/94]} | ret=SUCCESS | perf={metaLatencyMs=55, sizeByte=10240, opLatencyMs=287} |  
2024-04-06 20:59:23,909 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/96]} | ret=SUCCESS | perf={metaLatencyMs=37, sizeByte=10240, opLatencyMs=272} |  
2024-04-06 20:59:23,994 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/97]} | ret=SUCCESS | perf={metaLatencyMs=48, sizeByte=10240, opLatencyMs=338} |  
2024-04-06 20:59:24,103 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/98]} | ret=SUCCESS | perf={metaLatencyMs=59, sizeByte=10240, opLatencyMs=369} |  
