2025-06-14 12:32:53,566 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {volume=s3v, bucket=logstream, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904373549, bucketEncryptionKey=null, modificationTime=1749904373549, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=113} | ret=SUCCESS |  
2025-06-14 12:32:54,122 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=ALLOCATE_KEY {volume=s3v, bucket=logstream, key=testkey, dataSize=65536, replicationType=NONE, Transaction=115} | ret=SUCCESS |  
2025-06-14 12:32:54,164 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=COMMIT_KEY {volume=s3v, bucket=logstream, key=testkey, dataSize=65536, replicationType=RATIS, replicationFactor=THREE, ETag=78b0b9b0628a6f85570b5dd2c3790b33, Transaction=117} | ret=SUCCESS |  
2025-06-14 12:32:55,844 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {volume=s3v, bucket=prof, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904375809, bucketEncryptionKey=null, modificationTime=1749904375809, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=119} | ret=SUCCESS |  
2025-06-14 12:32:56,407 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=s3v, bucket=prof, key=testkey, dataSize=65536, replicationType=NONE, Transaction=121} | ret=SUCCESS |  
2025-06-14 12:32:56,450 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=COMMIT_KEY {volume=s3v, bucket=prof, key=testkey, dataSize=65536, replicationType=RATIS, replicationFactor=THREE, ETag=78b0b9b0628a6f85570b5dd2c3790b33, Transaction=123} | ret=SUCCESS |  
2025-06-14 12:32:58,097 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=CREATE_BUCKET {volume=s3v, bucket=prom, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904378085, bucketEncryptionKey=null, modificationTime=1749904378085, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=125} | ret=SUCCESS |  
2025-06-14 12:32:58,673 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=ALLOCATE_KEY {volume=s3v, bucket=prom, key=testkey, dataSize=65536, replicationType=NONE, Transaction=127} | ret=SUCCESS |  
2025-06-14 12:32:58,724 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=COMMIT_KEY {volume=s3v, bucket=prom, key=testkey, dataSize=65536, replicationType=RATIS, replicationFactor=THREE, ETag=78b0b9b0628a6f85570b5dd2c3790b33, Transaction=129} | ret=SUCCESS |  
2025-06-14 12:33:00,375 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {volume=s3v, bucket=secret, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904380359, bucketEncryptionKey=null, modificationTime=1749904380359, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=131} | ret=SUCCESS |  
