2023-09-07 18:26:17,790 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg21]} | ret=SUCCESS |  
2023-09-07 18:26:17,796 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg20]} | ret=SUCCESS |  
2023-09-07 18:26:17,900 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg22]} | ret=SUCCESS |  
2023-09-07 18:26:17,923 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg23]} | ret=SUCCESS |  
2023-09-07 18:26:17,978 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg28]} | ret=SUCCESS |  
2023-09-07 18:26:17,986 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg25]} | ret=SUCCESS |  
2023-09-07 18:26:18,028 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg30]} | ret=SUCCESS |  
2023-09-07 18:26:18,028 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg27]} | ret=SUCCESS |  
2023-09-07 18:26:18,029 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg24]} | ret=SUCCESS |  
2023-09-07 18:26:18,029 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg29]} | ret=SUCCESS |  
2023-09-07 18:26:18,030 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg32]} | ret=SUCCESS |  
2023-09-07 18:26:18,030 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg26]} | ret=SUCCESS |  
2023-09-07 18:26:18,057 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg33]} | ret=SUCCESS |  
2023-09-07 18:26:18,066 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg31]} | ret=SUCCESS |  
2023-09-07 18:26:18,085 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg35]} | ret=SUCCESS |  
2023-09-07 18:26:18,143 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg38]} | ret=SUCCESS |  
2023-09-07 18:26:18,143 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg36]} | ret=SUCCESS |  
2023-09-07 18:26:18,155 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg34]} | ret=SUCCESS |  
2023-09-07 18:26:18,169 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg42]} | ret=SUCCESS |  
2023-09-07 18:26:18,180 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg41]} | ret=SUCCESS |  
2023-09-07 18:26:18,218 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg37]} | ret=SUCCESS |  
2023-09-07 18:26:18,250 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg40]} | ret=SUCCESS |  
2023-09-07 18:26:18,269 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg44]} | ret=SUCCESS |  
2023-09-07 18:26:18,279 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg43]} | ret=SUCCESS |  
2023-09-07 18:26:18,280 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg39]} | ret=SUCCESS |  
2023-09-07 18:26:18,294 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg47]} | ret=SUCCESS |  
2023-09-07 18:26:18,309 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg49]} | ret=SUCCESS |  
2023-09-07 18:26:18,316 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg46]} | ret=SUCCESS |  
2023-09-07 18:26:18,329 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg48]} | ret=SUCCESS |  
2023-09-07 18:26:18,344 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg52]} | ret=SUCCESS |  
2023-09-07 18:26:18,361 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg50]} | ret=SUCCESS |  
2023-09-07 18:26:18,380 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg45]} | ret=SUCCESS |  
2023-09-07 18:26:18,382 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg51]} | ret=SUCCESS |  
2023-09-07 18:26:18,401 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg53]} | ret=SUCCESS |  
2023-09-07 18:26:18,410 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg57]} | ret=SUCCESS |  
2023-09-07 18:26:18,427 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg54]} | ret=SUCCESS |  
2023-09-07 18:26:18,447 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg59]} | ret=SUCCESS |  
2023-09-07 18:26:18,448 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg55]} | ret=SUCCESS |  
2023-09-07 18:26:18,472 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg58]} | ret=SUCCESS |  
2023-09-07 18:26:18,478 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg61]} | ret=SUCCESS |  
2023-09-07 18:26:18,488 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg63]} | ret=SUCCESS |  
2023-09-07 18:26:18,498 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg56]} | ret=SUCCESS |  
2023-09-07 18:26:18,499 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg60]} | ret=SUCCESS |  
2023-09-07 18:26:18,517 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg62]} | ret=SUCCESS |  
2023-09-07 18:26:18,522 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg64]} | ret=SUCCESS |  
2023-09-07 18:26:18,542 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg65]} | ret=SUCCESS |  
2023-09-07 18:26:18,596 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg67]} | ret=SUCCESS |  
2023-09-07 18:26:18,597 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg66]} | ret=SUCCESS |  
2023-09-07 18:26:18,656 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg68]} | ret=SUCCESS |  
2023-09-07 18:26:18,657 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg70]} | ret=SUCCESS |  
2023-09-07 18:26:18,659 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg69]} | ret=SUCCESS |  
2023-09-07 18:26:18,660 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg71]} | ret=SUCCESS |  
2023-09-07 18:26:18,657 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg72]} | ret=SUCCESS |  
2023-09-07 18:26:18,678 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg73]} | ret=SUCCESS |  
2023-09-07 18:26:18,706 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg75]} | ret=SUCCESS |  
2023-09-07 18:26:18,707 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg74]} | ret=SUCCESS |  
2023-09-07 18:26:18,738 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg76]} | ret=SUCCESS |  
2023-09-07 18:26:18,757 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg77]} | ret=SUCCESS |  
2023-09-07 18:26:18,789 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg80]} | ret=SUCCESS |  
2023-09-07 18:26:18,791 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg82]} | ret=SUCCESS |  
2023-09-07 18:26:18,805 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg81]} | ret=SUCCESS |  
2023-09-07 18:26:18,818 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg78]} | ret=SUCCESS |  
2023-09-07 18:26:18,828 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg83]} | ret=SUCCESS |  
2023-09-07 18:26:18,839 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg79]} | ret=SUCCESS |  
2023-09-07 18:26:18,853 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg85]} | ret=SUCCESS |  
2023-09-07 18:26:18,853 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg84]} | ret=SUCCESS |  
2023-09-07 18:26:18,854 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg86]} | ret=SUCCESS |  
2023-09-07 18:26:18,869 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg87]} | ret=SUCCESS |  
2023-09-07 18:26:18,896 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg88]} | ret=SUCCESS |  
2023-09-07 18:26:18,908 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg89]} | ret=SUCCESS |  
2023-09-07 18:26:18,930 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg90]} | ret=SUCCESS |  
2023-09-07 18:26:18,938 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg92]} | ret=SUCCESS |  
