2023-09-15 05:05:53,464 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=multiUpload.2.gz, dataSize=8388608, replicationType=RATIS, replicationFactor=THREE, clientID=111067421228138507} | ret=SUCCESS |  
2023-09-15 05:05:53,611 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-8355478247, key=multiUpload.2.gz, dataSize=8388608, replicationType=NONE, replicationFactor=ZERO, partNumber=1, partName=/s3v/bucket-ozone-test-8355478247/multiUpload.2.gz-25a9c6ec-4f89-44c3-a855-58b5615cdc48-111067421212934153-1} | ret=SUCCESS |  
2023-09-15 05:05:53,642 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 05:05:53,669 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=COMPLETE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-ozone-test-8355478247, key=multiUpload.2.gz, dataSize=0, replicationType=NONE, replicationFactor=ZERO, multipartList=[partNumber: 1 partName: "/s3v/bucket-ozone-test-8355478247/multiUpload.2.gz-25a9c6ec-4f89-44c3-a855-58b5615cdc48-111067421212934153-1" , partNumber: 2 partName: "/s3v/bucket-ozone-test-8355478247/multiUpload.2.gz-25a9c6ec-4f89-44c3-a855-58b5615cdc48-111067421212934153-2" ]} | ret=SUCCESS |  
2023-09-15 05:05:53,698 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 05:05:53,737 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=CREATE_BUCKET {volume=s3v, bucket=bucket-rqjokixkep, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1694754353711, bucketEncryptionKey=null, modificationTime=1694754353711, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-09-15 05:05:53,758 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 05:05:53,779 | INFO  | OMAudit | user=null | ip=null | op=LIST_BUCKETS {volume=s3v, startKey=, prefix=, maxNumOfBuckets=1000, hasSnapshot=false} | ret=SUCCESS |  
2023-09-15 05:05:53,787 | INFO  | OMAudit | user=null | ip=null | op=LIST_BUCKETS {volume=s3v, startKey=ozone-test-oawohdvntv, prefix=, maxNumOfBuckets=1000, hasSnapshot=false} | ret=SUCCESS |  
2023-09-15 05:05:53,814 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 05:05:53,823 | INFO  | OMAudit | user=null | ip=null | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-8355478247} | ret=SUCCESS |  
2023-09-15 05:05:53,853 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 05:05:53,865 | INFO  | OMAudit | user=hadoop | ip=172.19.0.12 | op=DELETE_BUCKET {volume=s3v, bucket=ozone-test-oawohdvntv} | ret=SUCCESS |  
2023-09-15 05:05:53,908 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 05:05:53,917 | INFO  | OMAudit | user=null | ip=null | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-8355478247} | ret=SUCCESS |  
2023-09-15 05:05:53,929 | INFO  | OMAudit | user=null | ip=null | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-8355478247} | ret=SUCCESS |  
2023-09-15 05:05:53,939 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-8355478247, key=README1.md, dataSize=4068, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-09-15 05:05:54,032 | INFO  | OMAudit | user=hadoop | ip=172.19.0.12 | op=COMMIT_KEY {volume=s3v, bucket=bucket-ozone-test-8355478247, key=README1.md, dataSize=4068, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-09-15 05:05:54,097 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 05:05:54,103 | INFO  | OMAudit | user=null | ip=null | op=READ_KEY {volume=s3v, bucket=bucket-ozone-test-8355478247, key=README1.md, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2023-09-15 05:05:54,130 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 05:05:54,132 | INFO  | OMAudit | user=null | ip=null | op=READ_KEY {volume=s3v, bucket=bucket-ozone-test-8355478247, key=README10.md, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
