2026-02-26 14:23:10,206 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0002/job.split","dataSize":"331","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"71"} | ret=SUCCESS |  
2026-02-26 14:23:10,243 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0002/job.splitmetainfo","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"72"} | ret=SUCCESS |  
2026-02-26 14:23:10,263 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0002/job.splitmetainfo","dataSize":"359","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"73"} | ret=SUCCESS |  
2026-02-26 14:23:10,483 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0002/job.xml","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"74"} | ret=SUCCESS |  
2026-02-26 14:23:12,984 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0002/job.xml","dataSize":"259761","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"75"} | ret=SUCCESS |  
2026-02-26 14:23:17,143 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_DIRECTORY {"volume":"user","bucket":"hadoop","key":".staging/job_1772115730784_0002","dataSize":"0","Transaction":"76"} | ret=SUCCESS |  
2026-02-26 14:23:17,343 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_DIRECTORY {"volume":"volume1","bucket":"bucket1","key":"wordcount-pfXu3kgK.txt/_temporary/1","dataSize":"0","Transaction":"77"} | ret=SUCCESS |  
2026-02-26 14:23:17,606 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"user","bucket":"hadoop","key":".staging/job_1772115730784_0002/job_1772115730784_0002_1.jhist","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"78"} | ret=SUCCESS |  
2026-02-26 14:23:17,966 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"user","bucket":"hadoop","key":".staging/job_1772115730784_0002/job_1772115730784_0002_1_conf.xml","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"79"} | ret=SUCCESS |  
2026-02-26 14:23:20,470 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"user","bucket":"hadoop","key":".staging/job_1772115730784_0002/job_1772115730784_0002_1_conf.xml","dataSize":"301439","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"80"} | ret=SUCCESS |  
2026-02-26 14:23:41,439 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"wordcount-pfXu3kgK.txt/_temporary/1/_temporary/attempt_1772115730784_0002_r_000000_0/part-r-00000","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"81"} | ret=SUCCESS |  
