2023-03-16 15:09:01,252 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg47]} | ret=SUCCESS |  
2023-03-16 15:09:01,262 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg46]} | ret=SUCCESS |  
2023-03-16 15:09:01,280 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg44]} | ret=SUCCESS |  
2023-03-16 15:09:01,394 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg48]} | ret=SUCCESS |  
2023-03-16 15:09:01,465 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg51]} | ret=SUCCESS |  
2023-03-16 15:09:01,489 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg55]} | ret=SUCCESS |  
2023-03-16 15:09:01,508 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg50]} | ret=SUCCESS |  
2023-03-16 15:09:01,550 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg52]} | ret=SUCCESS |  
2023-03-16 15:09:01,552 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg49]} | ret=SUCCESS |  
2023-03-16 15:09:01,630 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg53]} | ret=SUCCESS |  
2023-03-16 15:09:01,685 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg56]} | ret=SUCCESS |  
2023-03-16 15:09:01,706 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg57]} | ret=SUCCESS |  
2023-03-16 15:09:01,755 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg61]} | ret=SUCCESS |  
2023-03-16 15:09:01,835 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg58]} | ret=SUCCESS |  
2023-03-16 15:09:01,840 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg59]} | ret=SUCCESS |  
2023-03-16 15:09:01,846 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg60]} | ret=SUCCESS |  
2023-03-16 15:09:01,903 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg64]} | ret=SUCCESS |  
