2023-09-15 14:39:58,461 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-2236085822, key=multiUpload.2.gz, dataSize=8388608, replicationType=NONE, replicationFactor=ZERO, partNumber=1, partName=/s3v/bucket-ozone-test-2236085822/multiUpload.2.gz-bde9308e-9122-44b7-b22d-2d68e238b67f-111069678539440137-1} | ret=SUCCESS |  
2023-09-15 14:39:58,507 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 14:39:58,549 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=COMPLETE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-ozone-test-2236085822, key=multiUpload.2.gz, dataSize=0, replicationType=NONE, replicationFactor=ZERO, multipartList=[partNumber: 1 partName: "/s3v/bucket-ozone-test-2236085822/multiUpload.2.gz-bde9308e-9122-44b7-b22d-2d68e238b67f-111069678539440137-1" , partNumber: 2 partName: "/s3v/bucket-ozone-test-2236085822/multiUpload.2.gz-bde9308e-9122-44b7-b22d-2d68e238b67f-111069678539440137-2" ]} | ret=SUCCESS |  
2023-09-15 14:39:58,597 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 14:39:58,616 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=CREATE_BUCKET {volume=s3v, bucket=bucket-zjoowcpqon, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1694788798610, bucketEncryptionKey=null, modificationTime=1694788798610, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-09-15 14:39:58,655 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 14:39:58,671 | INFO  | OMAudit | user=null | ip=null | op=LIST_BUCKETS {volume=s3v, startKey=, prefix=, maxNumOfBuckets=1000, hasSnapshot=false} | ret=SUCCESS |  
2023-09-15 14:39:58,671 | INFO  | OMAudit | user=hadoop | ip=172.19.0.9 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-09-15 14:39:58,683 | INFO  | OMAudit | user=null | ip=null | op=LIST_BUCKETS {volume=s3v, startKey=ozone-test-ilijezfxjj, prefix=, maxNumOfBuckets=1000, hasSnapshot=false} | ret=SUCCESS |  
2023-09-15 14:39:58,728 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 14:39:58,746 | INFO  | OMAudit | user=null | ip=null | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-2236085822} | ret=SUCCESS |  
2023-09-15 14:39:58,769 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 14:39:58,793 | INFO  | OMAudit | user=hadoop | ip=172.19.0.6 | op=DELETE_BUCKET {volume=s3v, bucket=ozone-test-ilijezfxjj} | ret=SUCCESS |  
2023-09-15 14:39:58,825 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 14:39:58,837 | INFO  | OMAudit | user=null | ip=null | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-2236085822} | ret=SUCCESS |  
2023-09-15 14:39:58,852 | INFO  | OMAudit | user=null | ip=null | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-2236085822} | ret=SUCCESS |  
2023-09-15 14:39:58,863 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-2236085822, key=README1.md, dataSize=4068, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-09-15 14:39:58,965 | INFO  | OMAudit | user=hadoop | ip=172.19.0.6 | op=COMMIT_KEY {volume=s3v, bucket=bucket-ozone-test-2236085822, key=README1.md, dataSize=4068, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-09-15 14:39:59,000 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
